t_sec,presence,proximity,gaze,sws
1784871038.8,0.00,0.00,0.00,0.0
1784871039.8,0.00,0.00,0.00,0.0
1784871040.8,0.00,0.00,0.00,0.0
1784871041.8,0.00,0.00,0.00,0.0
1784871042.8,0.00,0.00,0.00,0.0
1784871043.8,0.00,0.00,0.00,0.0
1784871044.8,0.00,0.00,0.00,0.0
1784871045.8,0.00,0.00,0.00,0.0
1784871046.8,0.00,0.00,0.00,0.0
1784871047.8,0.00,0.00,0.00,0.0
1784871048.8,0.00,0.00,0.00,0.0
1784871049.8,0.00,0.00,0.00,0.0
1784871050.8,0.00,0.00,0.00,0.0
1784871051.8,0.00,0.00,0.00,0.0
1784871052.8,0.00,0.00,0.00,0.0
1784871053.8,0.00,0.00,0.00,0.0
1784871054.8,0.00,0.00,0.00,0.0
1784871055.8,0.00,0.00,0.00,0.0
1784871056.8,0.00,0.00,0.00,0.0
1784871057.8,0.00,0.00,0.00,0.0
1784871058.8,0.00,0.00,0.00,0.0
1784871059.8,0.00,0.00,0.00,0.1
1784871060.8,0.02,1.00,0.01,31.3
1784871061.8,0.03,0.95,0.01,30.0
1784871062.8,0.05,0.97,0.03,31.8
1784871063.8,0.08,0.97,0.06,34.0
1784871064.8,0.11,0.96,0.09,36.2
1784871065.8,0.15,0.97,0.11,38.4
1784871066.8,0.18,0.98,0.11,39.9
1784871067.8,0.22,0.98,0.11,41.3
1784871068.8,0.25,0.98,0.11,42.7
1784871069.8,0.28,0.99,0.11,44.1
1784871070.8,0.31,0.99,0.11,45.4
1784871071.8,0.34,0.99,0.11,46.7
1784871072.8,0.37,0.99,0.15,49.0
1784871073.8,0.41,0.99,0.15,50.6
1784871074.8,0.44,0.99,0.17,52.6
1784871075.8,0.48,0.99,0.21,55.0
1784871076.8,0.51,0.99,0.24,57.4
1784871077.8,0.54,0.99,0.27,59.7
1784871078.8,0.58,0.99,0.31,62.1
1784871079.8,0.61,0.99,0.34,64.5
1784871080.8,0.64,0.99,0.38,66.8
1784871081.8,0.68,0.99,0.41,69.2
1784871082.8,0.71,0.99,0.44,71.6
1784871083.8,0.74,0.99,0.48,74.0
1784871084.8,0.78,0.99,0.51,76.3
1784871085.8,0.81,1.00,0.55,78.7
1784871086.8,0.85,1.00,0.58,81.1
1784871087.8,0.88,1.00,0.61,83.5
1784871088.8,0.91,1.00,0.65,85.8
1784871089.8,0.94,1.00,0.68,88.1
1784871090.8,0.96,1.00,0.69,89.0
1784871091.8,0.99,1.00,0.73,91.1
1784871092.8,1.00,1.00,0.74,92.2
1784871093.8,1.00,1.00,0.75,92.4
1784871094.8,1.00,1.00,0.75,92.5
1784871095.8,1.00,1.00,0.76,92.9
1784871096.8,1.00,1.00,0.80,93.9
1784871097.8,1.00,1.00,0.83,94.9
1784871098.8,1.00,1.00,0.86,95.9
1784871099.8,1.00,1.00,0.90,96.9
1784871100.8,1.00,1.00,0.93,97.9
1784871101.8,1.00,1.00,0.96,98.8
1784871102.8,1.00,1.00,0.96,98.8
1784871103.8,1.00,1.00,0.99,99.6
1784871104.8,1.00,1.00,1.00,100.0
1784871105.8,1.00,1.00,1.00,100.0
1784871106.8,1.00,1.00,1.00,100.0
1784871107.8,1.00,1.00,1.00,100.0
1784871108.8,1.00,1.00,1.00,100.0
1784871109.8,1.00,1.00,1.00,100.0
1784871110.8,1.00,1.00,1.00,100.0
1784871111.8,1.00,1.00,0.97,99.1
1784871112.8,1.00,1.00,0.94,98.1
1784871113.8,1.00,1.00,0.90,97.1
1784871114.8,1.00,1.00,0.87,96.1
1784871115.8,1.00,1.00,0.84,95.1
1784871116.8,1.00,1.00,0.80,94.1
1784871117.8,1.00,1.00,0.77,93.1
1784871118.8,1.00,1.00,0.74,92.1
1784871119.8,1.00,1.00,0.70,91.1
1784871120.8,1.00,1.00,0.67,90.1
1784871121.8,1.00,1.00,0.64,89.2
1784871122.8,1.00,0.99,0.64,89.0
1784871123.8,1.00,0.99,0.64,88.8
1784871124.8,1.00,0.98,0.64,88.6
1784871125.8,1.00,0.97,0.62,87.9
1784871126.8,0.97,0.97,0.60,86.0
1784871127.8,0.94,0.97,0.56,83.7
1784871128.8,0.94,0.96,0.54,82.7
1784871129.8,0.94,0.96,0.54,82.4
1784871130.8,0.94,0.95,0.54,82.2
1784871131.8,0.94,0.94,0.54,82.0
1784871132.8,0.94,0.94,0.54,81.8
1784871133.8,0.94,0.93,0.54,81.6
1784871134.8,0.94,0.92,0.54,81.4
1784871135.8,0.94,0.91,0.54,81.2
1784871136.8,0.94,0.91,0.54,81.1
1784871137.8,0.94,0.91,0.54,81.1
1784871138.8,0.94,0.91,0.54,81.1
1784871139.8,0.94,0.91,0.54,81.1
1784871140.8,0.94,0.91,0.54,81.1
1784871141.8,0.94,0.91,0.57,82.0
1784871142.8,0.94,0.91,0.60,83.1
1784871143.8,0.94,0.91,0.63,84.1
1784871144.8,0.94,0.91,0.66,85.0
1784871145.8,0.94,0.91,0.70,86.0
1784871146.8,0.94,0.91,0.73,87.0
1784871147.8,0.94,0.91,0.77,88.0
1784871148.8,0.94,0.91,0.80,89.1
1784871149.8,0.94,0.91,0.83,90.1
1784871150.8,0.94,0.91,0.87,91.1
1784871151.8,0.94,0.91,0.90,92.0
1784871152.8,0.94,0.92,0.90,92.2
1784871153.8,0.94,0.93,0.90,92.4
1784871154.8,0.94,0.93,0.90,92.6
1784871155.8,0.94,0.94,0.92,93.3
1784871156.8,0.97,0.94,0.94,95.1
1784871157.8,1.00,0.95,0.94,96.4
1784871158.8,1.00,0.95,0.95,97.2
1784871159.8,1.00,0.96,0.95,97.4
1784871160.8,1.00,0.96,0.95,97.4
1784871161.8,1.00,0.96,0.95,97.4
1784871162.8,1.00,0.96,0.95,97.4
1784871163.8,1.00,0.96,0.95,97.4
1784871164.8,1.00,0.96,0.95,97.4
1784871165.8,1.00,0.96,0.95,97.4
1784871166.8,1.00,0.96,0.95,97.3
1784871167.8,1.00,0.95,0.95,97.1
1784871168.8,1.00,0.94,0.95,96.9
1784871169.8,1.00,0.94,0.95,96.7
1784871170.8,1.00,0.93,0.95,96.5
1784871171.8,1.00,0.92,0.95,96.3
1784871172.8,1.00,0.92,0.95,96.1
1784871173.8,1.00,0.91,0.95,96.0
1784871174.8,1.00,0.91,0.96,96.1
1784871175.8,1.00,0.91,0.96,96.1
